State,County,Poor or fair health,Poor mental health days,Health care costs
AL,Autauga County,0.228,3.6,10219.0
AL,Autauga County,0.228,3.6,9939.0
AL,Baldwin County,0.127,3.8,9624.0
AL,Baldwin County,0.127,3.8,9502.0
AL,Barbour County,0.234,4.3,10809.0
AL,Barbour County,0.234,4.3,10414.0
AL,Bibb County,0.179,5.1,10809.0
AL,Bibb County,0.179,5.1,10825.0
AL,Blount County,0.242,3.9,10510.0
AL,Blount County,0.242,3.9,10281.0
AL,Bullock County,0.23,,8941.0
AL,Bullock County,0.23,,9976.0
AL,Butler County,0.199,3.5,11331.0
AL,Butler County,0.199,3.5,11378.0
AL,Calhoun County,0.227,5.1,11246.0
AL,Calhoun County,0.227,5.1,11405.0
AL,Chambers County,0.385,4.3,9436.0
AL,Chambers County,0.385,4.3,8948.0
AL,Cherokee County,0.242,5.2,10671.0
AL,Cherokee County,0.242,5.2,10851.0
AL,Chilton County,0.205,4.9,10849.0
AL,Chilton County,0.205,4.9,10168.0
AL,Choctaw County,0.316,4.6,9953.0
AL,Choctaw County,0.316,4.6,11908.0
AL,Clarke County,0.218,3.0,9764.0
AL,Clarke County,0.218,3.0,9422.0
AL,Clay County,0.286,5.3,9661.0
AL,Clay County,0.286,5.3,9934.0
AL,Cleburne County,0.2,5.2,10573.0
AL,Cleburne County,0.2,5.2,11159.0
AL,Coffee County,0.184,3.6,9927.0
AL,Coffee County,0.184,3.6,9330.0
AL,Colbert County,0.259,4.8,10670.0
AL,Colbert County,0.259,4.8,10689.0
AL,Conecuh County,0.183,5.2,10934.0
AL,Conecuh County,0.183,5.2,11037.0
AL,Coosa County,0.258,4.6,10013.0
AL,Coosa County,0.258,4.6,9815.0
AL,Covington County,0.25,5.2,10912.0
AL,Covington County,0.25,5.2,10626.0
AL,Crenshaw County,0.203,3.8,9768.0
AL,Crenshaw County,0.203,3.8,10459.0
AL,Cullman County,0.214,4.4,10674.0
AL,Cullman County,0.214,4.4,10210.0
AL,Dale County,0.212,3.9,10782.0
AL,Dale County,0.212,3.9,10430.0
AL,Dallas County,0.252,3.6,10281.0
AL,Dallas County,0.252,3.6,9831.0
AL,DeKalb County,0.204,4.9,10203.0
AL,DeKalb County,0.204,4.9,10505.0
AL,Elmore County,0.167,4.4,9674.0
AL,Elmore County,0.167,4.4,10303.0
AL,Escambia County,0.281,4.7,11283.0
AL,Escambia County,0.281,4.7,10882.0
AL,Etowah County,0.227,5.0,12275.0
AL,Etowah County,0.227,5.0,12060.0
AL,Fayette County,0.318,5.2,10067.0
AL,Fayette County,0.318,5.2,9878.0
AL,Franklin County,0.24,4.4,11669.0
AL,Franklin County,0.24,4.4,11628.0
AL,Geneva County,0.283,3.4,10933.0
AL,Geneva County,0.283,3.4,10333.0
AL,Greene County,0.271,5.3,9236.0
AL,Greene County,0.271,5.3,9557.0
AL,Hale County,0.211,4.1,9673.0
AL,Hale County,0.211,4.1,9898.0
AL,Henry County,0.184,3.5,10082.0
AL,Henry County,0.184,3.5,9678.0
AL,Houston County,0.207,4.3,9923.0
AL,Houston County,0.207,4.3,10053.0
AL,Jackson County,0.28,5.3,10895.0
AL,Jackson County,0.28,5.3,10568.0
AL,Jefferson County,0.178,3.9,9535.0
AL,Jefferson County,0.178,3.9,9420.0
AL,Lamar County,0.285,6.0,10978.0
AL,Lamar County,0.285,6.0,10413.0
AL,Lauderdale County,0.192,3.6,9197.0
AL,Lauderdale County,0.192,3.6,9308.0
AL,Lawrence County,0.235,5.5,10603.0
AL,Lawrence County,0.235,5.5,11092.0
AL,Lee County,0.175,5.2,8515.0
AL,Lee County,0.175,5.2,8414.0
AL,Limestone County,0.207,3.1,9953.0
AL,Limestone County,0.207,3.1,9978.0
AL,Lowndes County,0.358,4.2,9866.0
AL,Lowndes County,0.358,4.2,9288.0
AL,Macon County,0.247,2.9,7801.0
AL,Macon County,0.247,2.9,8464.0
AL,Madison County,0.141,3.5,9462.0
AL,Madison County,0.141,3.5,9835.0
AL,Marengo County,0.264,4.5,9070.0
AL,Marengo County,0.264,4.5,9347.0
AL,Marion County,0.237,4.3,10832.0
AL,Marion County,0.237,4.3,10850.0
AL,Marshall County,0.212,4.8,10841.0
AL,Marshall County,0.212,4.8,11146.0
AL,Mobile County,0.226,4.8,10102.0
AL,Mobile County,0.226,4.8,9985.0
AL,Monroe County,0.257,5.0,9649.0
AL,Monroe County,0.257,5.0,9814.0
AL,Montgomery County,0.21,3.8,9110.0
AL,Montgomery County,0.21,3.8,9315.0
AL,Morgan County,0.149,4.0,10069.0
AL,Morgan County,0.149,4.0,9986.0
AL,Perry County,0.272,4.2,9849.0
AL,Perry County,0.272,4.2,9963.0
AL,Pickens County,0.26,3.3,11258.0
AL,Pickens County,0.26,3.3,9849.0
AL,Pike County,0.238,3.8,10719.0
AL,Pike County,0.238,3.8,10575.0
AL,Randolph County,0.223,4.8,9494.0
AL,Randolph County,0.223,4.8,9102.0
AL,Russell County,0.213,5.0,9691.0
AL,Russell County,0.213,5.0,9678.0
AL,Shelby County,0.123,3.6,10504.0
AL,Shelby County,0.123,3.6,10275.0
AL,St. Clair County,0.193,4.0,10424.0
AL,St. Clair County,0.193,4.0,10854.0
AL,Sumter County,0.277,5.4,9377.0
AL,Sumter County,0.277,5.4,10726.0
AL,Talladega County,0.299,5.1,10678.0
AL,Talladega County,0.299,5.1,10539.0
AL,Tallapoosa County,0.265,5.2,10145.0
AL,Tallapoosa County,0.265,5.2,10910.0
AL,Tuscaloosa County,0.176,4.1,10288.0
AL,Tuscaloosa County,0.176,4.1,10256.0
